,Unnamed: 0,Date,close,high,low,open,volumefrom,volumeto,candlestick_pattern,candlestick_match_count
171,171,2019-07-28,9531.77,9591.52,9135.64,9478.32,28313.55,267243770.14,CDLLONGLEGGEDDOJI_Bull,5.0
172,172,2019-07-29,9506.93,9717.69,9386.9,9531.77,31434.4,299936368.39,CDLRICKSHAWMAN_Bull,5.0
173,173,2019-07-30,9595.52,9749.53,9391.78,9506.93,28856.19,276402322.56,CDLSPINNINGTOP_Bull,1.0
174,174,2019-07-31,10089.25,10123.94,9581.6,9595.52,42030.01,416343142.53,CDLBELTHOLD_Bull,3.0
175,175,2019-08-01,10409.79,10488.81,9890.49,10089.25,43505.11,442037342.05,NO_PATTERN,0.0
176,176,2019-08-02,10528.99,10666.64,10340.82,10409.79,44213.09,463688251.79,CDLADVANCEBLOCK_Bear,1.0
177,177,2019-08-03,10820.41,10915.0,10509.35,10528.99,34102.93,367536516.75,CDLBELTHOLD_Bull,1.0
178,178,2019-08-04,10978.91,11074.95,10572.24,10820.41,39795.33,431699306.35,NO_PATTERN,0.0
179,179,2019-08-05,11807.96,11945.38,10978.89,10978.91,74748.53,870917186.96,CDLBELTHOLD_Bull,1.0
180,180,2019-08-06,11467.1,12316.85,11224.1,11807.96,80694.71,949534020.01,NO_PATTERN,0.0
181,181,2019-08-07,11974.28,12138.55,11393.98,11467.1,70893.9,834719365.81,NO_PATTERN,0.0
182,182,2019-08-08,11982.8,12042.87,11498.04,11974.28,49871.24,588463519.89,CDLLONGLEGGEDDOJI_Bull,4.0
183,183,2019-08-09,11865.21,12027.57,11674.06,11982.8,39230.82,464214586.73,NO_PATTERN,0.0
184,184,2019-08-10,11293.59,11971.35,11232.42,11865.21,40869.27,470049694.45,CDLHIKKAKE_Bull,1.0
185,185,2019-08-11,11549.06,11584.35,11119.32,11293.59,25734.51,292814721.19,NO_PATTERN,0.0
186,186,2019-08-12,11387.41,11554.74,11240.38,11549.06,20181.72,229908138.9,NO_PATTERN,0.0
